response.url;result.mixed_content_url;result.canonical;result.is_canonical;previousUrl;depth;result.error;response.status;result.x_cache;result.request_time;result.redirected_from;result.redirects;result.title;result.h1;result.page_date;result.description;result.keywords;result.og_title;result.og_image;result.schema_types;result.h1_count;result.h2_count;result.h3_count;result.h4_count;result.canonical_count;result.google_amp;result.images;result.images_without_alt;result.images_alt_empty;result.images_outer;result.links;result.links_inner;result.links_outer;result.text_ratio_percent;result.dom_size;result.html_size;result.html_size_rendered;readability_length;readability_words;readability_minutes;readability_links;readability_links_inner;readability_links_outer;links_anchors;readability_images;readability_images_png;readability_images_png_links;yake_keywords;yake_detectedLanguage
https://taktile.com/;;;;;0;;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://taktile.com/;;https://taktile.com/;1;;1;;200;0;1177;;0;Taktile - The Agentic Decision Platform;AI agents you can trust.;;Taktile: The Agentic Decision Platform empowering financial institutions to combine the speed of AI automation with the oversight of human judgement - so teams can safely approve customers, catch more fraud, and stay compliant.;;Taktile - The Agentic Decision Platform;;;1;9;1;0;1;0;362;0;362;0;98;94;4;3;1454;362691;648183;;;;;;;;;;;;
https://taktile.com/contact;;https://taktile.com/contact;1;https://taktile.com/;2;;200;0;960;;0;Taktile - Contact;Contact usOur offices;;Taktile is the next-generation risk decision platform empowering experts to build, monitor, and experiment with automated decisions across the customer journey.;;Contact | Taktile;;;2;4;0;0;1;0;14;0;14;0;84;79;5;6;671;83258;368956;;;;;;;;;;;;
https://taktile.com/ai-agents-smb-lending;;;;;0;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://taktile.com/ai-agents-smb-lending;;https://taktile.com/ai-agents-smb-lending;1;https://taktile.com/;2;;200;0;915;;0;AI Agents for SMB Lending;5x more loans, same headcount;;5x more loans, same headcount - Your underwriters are swamped and good customers wait weeks for an answer. Customizable AI agents can change that—starting today.;;AI Agents for SMB Lending;/media/pages/ai-agents-smb-lending/7f57e24cbd-1757510274/teaser-max-eber-demo-video-youtube-thumb-1280x720-1200x630-crop.png;;1;4;0;0;1;0;25;0;25;0;25;23;2;4;226;38859;324236;;;;;;;;;;;;
https://taktile.com/the-agentic-decision-platform;;https://taktile.com/the-agentic-decision-platform;1;https://taktile.com/;2;;200;0;1135;;0;Taktile - The Agentic Decision Platform;;;Taktile’s Agentic Decision Platform helps financial institutions launch and evolve automated decision strategies fast—with enterprise-grade control and modular flexibility.;;Taktile - The Agentic Decision Platform;/media/pages/the-agentic-decision-platform/9aa52a5c79-1764080031/platform-visual2-1200x630-crop.jpg;;0;4;1;0;1;0;40;0;40;0;85;83;2;5;745;136962;422769;;;;;;;;;;;;
https://taktile.com/enterprise-infrastructure;;https://taktile.com/enterprise-infrastructure;1;https://taktile.com/;2;;200;0;1119;;0;Taktile - Enterprise-Grade Infrastructure;"Taktile runs where you run.Built to scale across
teams, use cases, and countries.Everything you need for production-ready AI, powered by Taktile.";;Taktile provides enterprise infrastructure built for financial services. Power mission-critical automated decisions at global scale with security, reliability, and performance.;;Enterprise-Grade Infrastructure | Taktile;;;3;6;1;0;1;0;42;0;42;0;85;81;4;6;723;103630;389027;;;;;;;;;;;;
https://taktile.com/case-manager;;https://taktile.com/case-manager;1;https://taktile.com/;2;;200;0;1121;;0;Taktile - Case Manager;"No more data silos.  
One unified view, tailored to the way you work.Everything you need for production-ready AI, powered by Taktile.";;Streamline case operations with Taktile’s Case Manager — purpose-built for financial services and designed for seamless human-AI collaboration.;;Case Manager | Taktile;/media/pages/case-manager/24e4ddc9fb-1764682060/case-analytics-2-1200x630-crop.jpg;;2;6;1;0;1;0;43;0;43;0;88;84;4;6;733;104371;389757;;;;;;;;;;;;
https://taktile.com/ai-agents-customer-onboarding;;;;;0;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://taktile.com/ai-agents-customer-onboarding;;https://taktile.com/ai-agents-customer-onboarding;1;https://taktile.com/;2;;200;0;917;;0;Scale your onboarding 10x with AI agents;Scale your onboarding 10x with AI agents;;In this webinar, Taktile co-founder Maximilian Eber shows how a dedicated team of agents can handle 10x the volume of a human team—at a fraction of the cost—while keeping you fully in control.;;Scale your onboarding 10x with AI agents;/media/pages/ai-agents-customer-onboarding/3c9a9123e7-1768326676/screenshot-2026-01-14-at-06.51.00-1200x630-crop.png;;1;5;0;0;1;0;25;0;25;0;25;23;2;5;248;41261;326663;;;;;;;;;;;;
